"","PA_CIDPRI","n","n_linhas","file"
"239","1111",765,2954212,"SIA_PA/PASP1910a.dbc"
"240","0000",3113164,4260536,"SIA_PA/PASP1910b.dbc"
"241","1111",406,4260536,"SIA_PA/PASP1910b.dbc"
"242","0000",906153,1158168,"SIA_PA/PASP1910c.dbc"
"243","0000",811504,2828237,"SIA_PA/PASP1911a.dbc"
"244","1111",740,2828237,"SIA_PA/PASP1911a.dbc"
"245","0000",2931507,3912963,"SIA_PA/PASP1911b.dbc"
"246","1111",393,3912963,"SIA_PA/PASP1911b.dbc"
"247","0000",870261,1112508,"SIA_PA/PASP1911c.dbc"
"248","0000",804180,2768809,"SIA_PA/PASP1912a.dbc"
"249","1111",732,2768809,"SIA_PA/PASP1912a.dbc"
"250","0000",2704710,3563657,"SIA_PA/PASP1912b.dbc"
"251","1111",289,3563657,"SIA_PA/PASP1912b.dbc"
"252","0000",815163,1028317,"SIA_PA/PASP1912c.dbc"
"253","0000",814443,2669504,"SIA_PA/PASP2001a.dbc"
"254","1111",703,2669504,"SIA_PA/PASP2001a.dbc"
"255","0000",2820525,3672507,"SIA_PA/PASP2001b.dbc"
"256","1111",464,3672507,"SIA_PA/PASP2001b.dbc"
"257","0000",880917,1101767,"SIA_PA/PASP2001c.dbc"
"258","0000",818894,2775493,"SIA_PA/PASP2002a.dbc"
"259","1111",722,2775493,"SIA_PA/PASP2002a.dbc"
"260","0000",2811236,3711170,"SIA_PA/PASP2002b.dbc"
"261","1111",385,3711170,"SIA_PA/PASP2002b.dbc"
"262","0000",895130,1136797,"SIA_PA/PASP2002c.dbc"
"263","0000",777616,2650466,"SIA_PA/PASP2003a.dbc"
"264","1111",651,2650466,"SIA_PA/PASP2003a.dbc"
"265","0000",2643645,3462794,"SIA_PA/PASP2003b.dbc"
"266","1111",431,3462794,"SIA_PA/PASP2003b.dbc"
"267","U04",2,3462794,"SIA_PA/PASP2003b.dbc"
"268","W46",1,3462794,"SIA_PA/PASP2003b.dbc"
"269","0000",797708,996472,"SIA_PA/PASP2003c.dbc"
"270","0000",526490,2060358,"SIA_PA/PASP2004a.dbc"
"271","1111",578,2060358,"SIA_PA/PASP2004a.dbc"
"272","0000",1626287,2031667,"SIA_PA/PASP2004b.dbc"
"273","1111",308,2031667,"SIA_PA/PASP2004b.dbc"
"274","U04",4,2031667,"SIA_PA/PASP2004b.dbc"
"275","0000",438363,522254,"SIA_PA/PASP2004c.dbc"
"276","0000",511119,2056977,"SIA_PA/PASP2005a.dbc"
"277","1111",426,2056977,"SIA_PA/PASP2005a.dbc"
"278","0000",1733472,2216225,"SIA_PA/PASP2005b.dbc"
"279","1111",259,2216225,"SIA_PA/PASP2005b.dbc"
"280","U04",1,2216225,"SIA_PA/PASP2005b.dbc"
"281","0000",433005,519567,"SIA_PA/PASP2005c.dbc"
"282","0000",587064,2293551,"SIA_PA/PASP2006a.dbc"
"283","1111",352,2293551,"SIA_PA/PASP2006a.dbc"
"284","0000",2006476,2594786,"SIA_PA/PASP2006b.dbc"
"285","1111",265,2594786,"SIA_PA/PASP2006b.dbc"
"286","U04",195,2594786,"SIA_PA/PASP2006b.dbc"
"287","0000",535077,652354,"SIA_PA/PASP2006c.dbc"
"288","0000",681118,2460756,"SIA_PA/PASP2007a.dbc"
"289","1111",267,2460756,"SIA_PA/PASP2007a.dbc"
"290","U04",1,2460756,"SIA_PA/PASP2007a.dbc"
"291","0000",2333642,3017647,"SIA_PA/PASP2007b.dbc"
"292","1111",279,3017647,"SIA_PA/PASP2007b.dbc"
"293","U04",98,3017647,"SIA_PA/PASP2007b.dbc"
"294","W46",1,3017647,"SIA_PA/PASP2007b.dbc"
"295","0000",623488,773286,"SIA_PA/PASP2007c.dbc"
"296","0000",687105,2536899,"SIA_PA/PASP2008a.dbc"
"297","1111",286,2536899,"SIA_PA/PASP2008a.dbc"
"298","0000",2496024,3231981,"SIA_PA/PASP2008b.dbc"
"299","1111",219,3231981,"SIA_PA/PASP2008b.dbc"
"300","U04",229,3231981,"SIA_PA/PASP2008b.dbc"
"301","U89",1,3231981,"SIA_PA/PASP2008b.dbc"
"302","0000",882159,1053598,"SIA_PA/PASP2008c.dbc"
"303","0000",739593,2654460,"SIA_PA/PASP2009a.dbc"
"304","1111",348,2654460,"SIA_PA/PASP2009a.dbc"
"305","U04",1,2654460,"SIA_PA/PASP2009a.dbc"
"306","0000",2725067,3564423,"SIA_PA/PASP2009b.dbc"
"307","1111",232,3564423,"SIA_PA/PASP2009b.dbc"
"308","U04",331,3564423,"SIA_PA/PASP2009b.dbc"
"309","W46",1,3564423,"SIA_PA/PASP2009b.dbc"
"310","0000",1093290,1305196,"SIA_PA/PASP2009c.dbc"
"311","0000",752144,2620350,"SIA_PA/PASP2010a.dbc"
"312","1111",319,2620350,"SIA_PA/PASP2010a.dbc"
"313","0000",2956103,3866203,"SIA_PA/PASP2010b.dbc"
"314","1111",200,3866203,"SIA_PA/PASP2010b.dbc"
"315","U04",383,3866203,"SIA_PA/PASP2010b.dbc"
"316","0000",1130586,1347922,"SIA_PA/PASP2010c.dbc"
"317","0000",772072,2659930,"SIA_PA/PASP2011a.dbc"
"318","1111",443,2659930,"SIA_PA/PASP2011a.dbc"
"319","0000",2962942,3880084,"SIA_PA/PASP2011b.dbc"
"320","1111",181,3880084,"SIA_PA/PASP2011b.dbc"
"321","U04",469,3880084,"SIA_PA/PASP2011b.dbc"
"322","W46",1,3880084,"SIA_PA/PASP2011b.dbc"
"323","0000",1150824,1354329,"SIA_PA/PASP2011c.dbc"
"324","0000",747482,2641685,"SIA_PA/PASP2012a.dbc"
"325","1111",442,2641685,"SIA_PA/PASP2012a.dbc"
"326","U04",1,2641685,"SIA_PA/PASP2012a.dbc"
"327","0000",2921289,3835537,"SIA_PA/PASP2012b.dbc"
"328","1111",187,3835537,"SIA_PA/PASP2012b.dbc"
"329","U04",31,3835537,"SIA_PA/PASP2012b.dbc"
"330","W46",1,3835537,"SIA_PA/PASP2012b.dbc"
"331","0000",1109127,1341681,"SIA_PA/PASP2012c.dbc"
