"","PA_MUNPCN","n","n_linhas","file"
"154","999999",297033,2445804,"SIA_PA/PASP1803a.dbc"
"155","350000",1739,4592933,"SIA_PA/PASP1803b.dbc"
"156","999999",1746983,4592933,"SIA_PA/PASP1803b.dbc"
"157","350000",7,2519006,"SIA_PA/PASP1804a.dbc"
"158","999999",301133,2519006,"SIA_PA/PASP1804a.dbc"
"159","350000",1693,4669985,"SIA_PA/PASP1804b.dbc"
"160","999999",1724791,4669985,"SIA_PA/PASP1804b.dbc"
"161","350000",10,2610678,"SIA_PA/PASP1805a.dbc"
"162","999999",298718,2610678,"SIA_PA/PASP1805a.dbc"
"163","350000",1751,4708145,"SIA_PA/PASP1805b.dbc"
"164","999999",1705793,4708145,"SIA_PA/PASP1805b.dbc"
"165","350000",7,2569298,"SIA_PA/PASP1806a.dbc"
"166","999999",301745,2569298,"SIA_PA/PASP1806a.dbc"
"167","350000",2581,4609839,"SIA_PA/PASP1806b.dbc"
"168","999999",1689844,4609839,"SIA_PA/PASP1806b.dbc"
"169","350000",8,2622510,"SIA_PA/PASP1807a.dbc"
"170","999999",298259,2622510,"SIA_PA/PASP1807a.dbc"
"171","350000",2351,4530596,"SIA_PA/PASP1807b.dbc"
"172","999999",1638975,4530596,"SIA_PA/PASP1807b.dbc"
"173","350000",5,2750894,"SIA_PA/PASP1808a.dbc"
"174","999999",314137,2750894,"SIA_PA/PASP1808a.dbc"
"175","350000",2118,4918819,"SIA_PA/PASP1808b.dbc"
"176","999999",1750789,4918819,"SIA_PA/PASP1808b.dbc"
"177","350000",12,2656167,"SIA_PA/PASP1809a.dbc"
"178","999999",313569,2656167,"SIA_PA/PASP1809a.dbc"
"179","350000",2374,4707936,"SIA_PA/PASP1809b.dbc"
"180","999999",1677664,4707936,"SIA_PA/PASP1809b.dbc"
"181","350000",6,2734330,"SIA_PA/PASP1810a.dbc"
"182","999999",317801,2734330,"SIA_PA/PASP1810a.dbc"
"183","350000",2274,4905617,"SIA_PA/PASP1810b.dbc"
"184","999999",1733554,4905617,"SIA_PA/PASP1810b.dbc"
"185","350000",5,2646522,"SIA_PA/PASP1811a.dbc"
"186","999999",319572,2646522,"SIA_PA/PASP1811a.dbc"
"187","350000",1978,4629777,"SIA_PA/PASP1811b.dbc"
"188","999999",1622087,4629777,"SIA_PA/PASP1811b.dbc"
"189","350000",14,2540378,"SIA_PA/PASP1812a.dbc"
"190","999999",316716,2540378,"SIA_PA/PASP1812a.dbc"
"191","350000",2249,4272770,"SIA_PA/PASP1812b.dbc"
"192","999999",1516416,4272770,"SIA_PA/PASP1812b.dbc"
"193","350000",24,2487422,"SIA_PA/PASP1901a.dbc"
"194","999999",302530,2487422,"SIA_PA/PASP1901a.dbc"
"195","350000",1981,4555479,"SIA_PA/PASP1901b.dbc"
"196","999999",1574439,4555479,"SIA_PA/PASP1901b.dbc"
"197","350000",6,2684938,"SIA_PA/PASP1902a.dbc"
"198","999999",329087,2684938,"SIA_PA/PASP1902a.dbc"
"199","350000",1893,4700204,"SIA_PA/PASP1902b.dbc"
"200","999999",1637305,4700204,"SIA_PA/PASP1902b.dbc"
"201","350000",6,2564667,"SIA_PA/PASP1903a.dbc"
"202","999999",316247,2564667,"SIA_PA/PASP1903a.dbc"
"203","999999",1222542,3679370,"SIA_PA/PASP1903b.dbc"
"204","350000",2115,1018072,"SIA_PA/PASP1903c.dbc"
"205","999999",346690,1018072,"SIA_PA/PASP1903c.dbc"
"206","350000",12,2755064,"SIA_PA/PASP1904a.dbc"
"207","999999",337323,2755064,"SIA_PA/PASP1904a.dbc"
"208","350000",1,3923397,"SIA_PA/PASP1904b.dbc"
"209","999999",1286142,3923397,"SIA_PA/PASP1904b.dbc"
"210","350000",1803,1131973,"SIA_PA/PASP1904c.dbc"
"211","999999",376690,1131973,"SIA_PA/PASP1904c.dbc"
"212","350000",39,2854102,"SIA_PA/PASP1905a.dbc"
"213","999999",337417,2854102,"SIA_PA/PASP1905a.dbc"
"214","999999",1358876,4077633,"SIA_PA/PASP1905b.dbc"
"215","350000",1376,1169309,"SIA_PA/PASP1905c.dbc"
"216","999999",398185,1169309,"SIA_PA/PASP1905c.dbc"
"217","350000",3,2764677,"SIA_PA/PASP1906a.dbc"
"218","999999",332457,2764677,"SIA_PA/PASP1906a.dbc"
"219","999999",1288135,3812897,"SIA_PA/PASP1906b.dbc"
"220","350000",1100,1067687,"SIA_PA/PASP1906c.dbc"
"221","999999",374820,1067687,"SIA_PA/PASP1906c.dbc"
"222","350000",4,2759567,"SIA_PA/PASP1907a.dbc"
"223","999999",337213,2759567,"SIA_PA/PASP1907a.dbc"
"224","999999",1277802,3749033,"SIA_PA/PASP1907b.dbc"
"225","350000",383,1129881,"SIA_PA/PASP1907c.dbc"
"226","999999",376367,1129881,"SIA_PA/PASP1907c.dbc"
"227","350000",5,2865679,"SIA_PA/PASP1908a.dbc"
"228","999999",342446,2865679,"SIA_PA/PASP1908a.dbc"
"229","999999",1368690,4009632,"SIA_PA/PASP1908b.dbc"
"230","350000",137,1166503,"SIA_PA/PASP1908c.dbc"
"231","999999",395665,1166503,"SIA_PA/PASP1908c.dbc"
"232","350000",3,2864339,"SIA_PA/PASP1909a.dbc"
"233","999999",335351,2864339,"SIA_PA/PASP1909a.dbc"
"234","999999",1362786,4032653,"SIA_PA/PASP1909b.dbc"
"235","350000",84,1147231,"SIA_PA/PASP1909c.dbc"
"236","999999",386659,1147231,"SIA_PA/PASP1909c.dbc"
"237","350000",3,2954212,"SIA_PA/PASP1910a.dbc"
